0,1
2,1
3,1
4,1
5,4
6,1
7,2
8,1
9,1
10,11
12,11
13,12
14,12
15,11
16,11
17,15
18,11
19,18
20,18
21,11
22,23
24,22
25,23
26,25
27,25
28,25
29,23
30,23
31,23
32,31
33,34
35,33
36,34
37,36
38,37
39,34
40,39
41,39
42,39
43,39
44,39
45,43
46,34
47,34
48,49
50,49
51,52
53,54
55,53
56,54
57,54
58,56
59,54
60,53
61,54
62,60
63,53
64,54
65,66
67,66
68,66
69,66
70,69
71,66
72,71
73,71
74,66
75,74
76,77
78,76
79,77
80,79
81,77
82,81
83,77
84,77
85,77
86,85
87,88
89,88
90,89
91,88
92,91
93,88
94,93
95,96
97,95
98,96
99,98
100,96
101,100
102,100
103,102
104,96
105,96
106,96
107,106
108,107
109,96
110,96
111,112
113,112
114,112
115,114
116,112
117,113
118,112
119,112
120,119
121,112
122,123
124,123
125,124
126,124
127,123
128,127
129,127
130,123
131,130
132,123
133,123
134,135
136,135
137,135
138,135
139,135
140,135
141,142
141,143
144,142
145,142
146,145
147,148
149,150
151,149
152,149
153,150
154,151
155,150
156,150
157,156
158,156
159,156
160,156
161,156
162,150
163,150
164,163
165,150
166,167
168,167
169,168
170,168
171,167
172,167
173,172
174,167
175,167
176,175
177,167
178,167
179,180
181,180
182,180
183,180
184,183
185,180
186,185
187,185
188,180
189,180
190,191
192,191
193,191
194,191
195,191
196,191
197,196
198,191
199,200
201,200
202,200
203,200
203,200
204,203
205,203
206,200
207,200
208,200
209,200
210,209
211,209
212,209
213,211
214,215
216,214
217,214
218,215
219,215
220,215
221,222
223,222
224,223
225,222
226,225
227,225
228,227
229,222
230,229
231,222
232,231
233,232
234,222
235,234
236,235
237,222
238,237
239,236
240,237
241,222
242,222
243,242
244,222
245,222
246,247
248,246
249,247
250,249
251,249
252,247
253,252
254,252
255,251
256,255
257,249
258,247
259,258
260,247
261,247
262,263
264,263
265,264
266,263
267,266
268,263
269,268
270,268
271,262
272,271
273,268
274,263
275,263
276,263
277,276
278,263
279,263
280,278
281,279
282,263
283,282
