0,1
2,1
3,1
4,1
5,4
6,1
7,2
8,1
9,1
10,11
12,11
13,12
14,12
15,11
16,11
17,15
18,11
19,18
20,18
21,11
22,23
24,22
25,23
26,25
27,25
28,25
29,23
30,23
31,23
32,31
33,34
35,33
36,34
37,36
38,37
39,34
40,39
41,39
42,39
43,39
44,39
45,43
46,34
47,34
48,49
50,49
51,52
53,54
55,53
56,54
57,54
58,56
59,54
60,53
61,54
62,60
63,53
64,54
65,66
67,66
68,66
69,66
70,69
71,66
72,71
73,71
74,66
75,74
76,77
78,76
79,77
80,79
81,77
82,81
83,77
84,77
85,77
86,85
87,88
89,88
90,89
91,88
92,91
93,88
94,93
95,96
97,95
98,96
99,98
100,96
101,100
102,100
103,102
104,96
105,96
106,96
107,106
108,107
109,96
110,96
